канал,канал[0],канал[1],канал[2],канал[3],канал[4],канал[5],канал[6],канал[7],канал[8],канал[9],канал[10],канал[11],канал[12],канал[13],канал[14],канал[15],канал[16],канал[17],канал[18],канал[19]
канал[0],0.9999999999999999,1.000738731138213,1.0004621482330498,1.7894994365402697,1.00055291536698,1.0005854316537268,1.0005063454303957,1.000628001727192,1.0005004145067353,1.0007136055568597,1.000593585768593,1.000629408343794,1.0003847904633416,1.0005502875162833,1.000539317537647,1.0007177926915083,1.0008828029909578,1.000971799925293,1.0012781296967894,1.0613780106666102
канал[1],1.000738731138213,1.0,1.0007359666773585,1.6143233467532048,1.0007904293595586,1.000724682354336,1.0008711965918258,1.0007264531540248,1.0007337785734653,1.000665623842528,1.0007786703763795,1.000529044216229,1.0008169205322588,1.0005705381348506,1.0007524355431956,1.0007494050637151,1.0010536380918431,1.001236762037775,1.001327647047737,1.0508782172574165
канал[2],1.0004621482330498,1.0007359666773585,1.0,3.789693329763305,1.0007212825436567,1.0007039244364604,1.0007153639018551,1.0005869610849183,1.0005788235754987,1.0007022958233236,1.000762204109215,1.0005612340081844,1.000520940955262,1.0005895806461513,1.0007825464571471,1.0005633035049442,1.0011399334062274,1.0010584016922173,1.001325529765531,1.0769211752184187
канал[3],1.7894994365402697,1.6143233467532045,3.789693329763305,1.0,2.943968729484968,0.4612247683177084,11.918351158128578,2.1342965145124384,6.811904034257127,1.6341612596645518,1.4179761830335829,19.16933707501146,1.2753799388427596,3.1908511609812695,3.025294420500215,1.928914629340767,0.13529416323917048,4.584150939581886,0.1093028012356999,4.555591933419419
канал[4],1.00055291536698,1.0007904293595586,1.0007212825436567,2.9439687294849683,1.0,1.0006479283834344,1.0008438345108484,1.0005494899039584,1.0005209775572377,1.0009237312391142,1.0006378459037135,1.0007382818260615,1.000373018292789,1.0006082706985455,1.0006531962116705,1.0007579169470293,1.000577754262874,1.0013842436337526,1.0008697704608924,1.0616025641648315
канал[5],1.0005854316537268,1.000724682354336,1.0007039244364606,0.4612247683177085,1.0006479283834344,0.9999999999999999,1.0010298599462644,1.0007127547568906,1.0005790470071032,1.0005484996878364,1.000786487551515,1.0003880296922958,1.0007255054912056,1.0006588491511792,1.000530441825042,1.0006577847771096,1.0008646798727414,1.001121577143352,1.0012532956463358,1.058275956595348
канал[6],1.0005063454303957,1.0008711965918258,1.0007153639018551,11.918351158128578,1.0008438345108484,1.0010298599462646,1.0,1.0009529139056281,1.0005972691114358,1.0010344301257403,1.0007055994064407,1.0008804982908805,1.0006428301242414,1.0010137824895644,1.000728979516924,1.0007420585371358,1.0016510243849968,1.001114796556594,1.0017854790017309,1.0622028531538599
канал[7],1.0006280017271918,1.0007264531540248,1.0005869610849183,2.134296514512439,1.0005494899039584,1.0007127547568906,1.0009529139056281,1.0,1.000694467500542,1.0005588892962802,1.0009207120012058,1.0005879522422134,1.000574973962369,1.0006115803742868,1.0006022184676209,1.0006288470790172,1.0008002519388142,1.001297762506096,1.0009423881963386,1.0761107952543698
канал[8],1.0005004145067353,1.0007337785734653,1.0005788235754987,6.811904034257125,1.0005209775572377,1.0005790470071032,1.0005972691114355,1.000694467500542,1.0,1.0007389132142617,1.0006384920985771,1.0005367643990188,1.0004855765220761,1.0003746872957582,1.0004094419824627,1.0005789954341149,1.0012900502670075,1.00084706311162,1.001354348272753,1.0716326162574668
канал[9],1.0007136055568597,1.000665623842528,1.0007022958233236,1.6341612596645518,1.0009237312391142,1.0005484996878364,1.0010344301257403,1.0005588892962802,1.000738913214262,1.0,1.0009665385802906,1.0006932126292252,1.000757518102206,1.000519184707436,1.0009041306086341,1.0007441793185448,1.0008954574483657,1.0014558625932592,1.0012139909809863,1.0545095928596764
канал[10],1.000593585768593,1.0007786703763795,1.000762204109215,1.4179761830335829,1.0006378459037135,1.000786487551515,1.0007055994064407,1.0009207120012058,1.0006384920985771,1.0009665385802906,1.0,1.0006948944390108,1.0005451149300855,1.0008796150557988,1.0005485358142763,1.0008069238678887,1.0009427081383064,1.001121485975166,1.0011871715906637,1.0505082528602112
канал[11],1.000629408343794,1.000529044216229,1.0005612340081844,19.16933707501146,1.0007382818260615,1.0003880296922956,1.0008804982908805,1.0005879522422134,1.0005367643990188,1.0006932126292254,1.0006948944390108,1.0,1.0005257085466777,1.0005020122273522,1.0005961916993564,1.0005036459139247,1.0007849220844975,1.0011294012884706,1.0013105655670345,1.0593458195800893
канал[12],1.0003847904633418,1.0008169205322588,1.0005209409552618,1.2753799388427594,1.000373018292789,1.0007255054912056,1.0006428301242414,1.000574973962369,1.0004855765220761,1.0007575181022057,1.0005451149300855,1.0005257085466777,0.9999999999999999,1.0005396259951413,1.000491225636889,1.0006503014450192,1.0007500508374954,1.001242278690643,1.0009795524223803,1.0568561150770404
канал[13],1.0005502875162833,1.0005705381348506,1.0005895806461513,3.1908511609812695,1.0006082706985455,1.0006588491511792,1.0010137824895644,1.0006115803742865,1.0003746872957582,1.000519184707436,1.0008796150557988,1.0005020122273522,1.0005396259951416,0.9999999999999999,1.0004343965715805,1.0005366670999476,1.0009022427432868,1.000922292464828,1.0009332496290428,1.0752531029309167
канал[14],1.000539317537647,1.0007524355431956,1.000782546457147,3.025294420500215,1.0006531962116705,1.000530441825042,1.000728979516924,1.0006022184676207,1.0004094419824627,1.0009041306086341,1.0005485358142763,1.0005961916993564,1.000491225636889,1.0004343965715805,0.9999999999999999,1.0005175671413362,1.0011541599660216,1.0010428251473915,1.001230396344644,1.0591180351141762
канал[15],1.0007177926915083,1.0007494050637151,1.0005633035049442,1.928914629340767,1.0007579169470293,1.0006577847771096,1.0007420585371358,1.000628847079017,1.0005789954341147,1.0007441793185448,1.0008069238678887,1.000503645913925,1.0006503014450192,1.0005366670999474,1.0005175671413362,1.0,1.0010612214903136,1.0010060635929519,1.0013086928772046,1.0612968801024443
канал[16],1.0008828029909578,1.001053638091843,1.0011399334062274,0.13529416323917048,1.000577754262874,1.0008646798727414,1.0016510243849968,1.0008002519388144,1.0012900502670075,1.0008954574483657,1.0009427081383064,1.0007849220844975,1.0007500508374954,1.0009022427432868,1.0011541599660216,1.0010612214903136,0.9999999999999999,1.0021019869698202,1.0007269172548532,1.1066058536883763
канал[17],1.000971799925293,1.001236762037775,1.0010584016922173,4.584150939581886,1.0013842436337523,1.0011215771433521,1.0011147965565939,1.001297762506096,1.0008470631116198,1.001455862593259,1.001121485975166,1.0011294012884706,1.001242278690643,1.000922292464828,1.0010428251473913,1.0010060635929519,1.0021019869698202,1.0,1.002732208590229,1.0532556621573508
канал[18],1.0012781296967894,1.001327647047737,1.001325529765531,0.1093028012356999,1.0008697704608924,1.0012532956463356,1.0017854790017309,1.0009423881963386,1.0013543482727532,1.0012139909809865,1.0011871715906637,1.0013105655670345,1.0009795524223803,1.0009332496290428,1.001230396344644,1.0013086928772046,1.0007269172548532,1.002732208590229,1.0,1.0912672226063986
канал[19],1.0613780106666102,1.0508782172574163,1.0769211752184191,4.555591933419418,1.0616025641648315,1.0582759565953481,1.0622028531538599,1.07611079525437,1.0716326162574668,1.0545095928596764,1.0505082528602112,1.0593458195800893,1.0568561150770401,1.0752531029309165,1.0591180351141762,1.0612968801024443,1.1066058536883763,1.0532556621573506,1.0912672226063986,1.0
