channel,ch[0],ch[1],ch[2],ch[3],ch[4],ch[5],ch[6],ch[7],ch[8],ch[9],ch[10],ch[11],ch[12],ch[13],ch[14],ch[15],ch[16],ch[17],ch[18],ch[19]
ch[0],0.0,0.0007360261827976666,0.0004607673382936994,0.027105927870722038,0.0005510182372621131,0.0005834357700359449,0.0005047113831946337,0.0006259515657748294,0.0004990623053194865,0.0007105283096463522,0.0005915186634448677,0.0006273680390784797,0.00038373740776687093,0.000548234858151031,0.0005373952009228855,0.0007153143059095424,0.0008759764345689369,0.000963684587038105,0.0012677864525497684,0.007364688821835927
ch[1],0.0007360261827976666,0.0,0.0007331202762855815,0.024749520611725,0.000787127536795551,0.0007219262251563219,0.000867484339285518,0.0007239881303771067,0.0007312442259476137,0.00066313117725747,0.000775367991520115,0.00052739237135635,0.0008137963178568297,0.0005684249051289836,0.0007494476878905365,0.000746929335664448,0.001045491509908958,0.0012258755725155224,0.0013170227487260266,0.00661100107127266
ch[2],0.0004607673382936994,0.0007331202762855815,0.0,0.02472622261915279,0.0007185267597674683,0.000700866982664472,0.0007125785982420307,0.0005848517982373069,0.0005770456152359715,0.0006992254194324588,0.0007590637092899089,0.0005590582521697307,0.0005191143760799877,0.0005871726430940472,0.0007793960909909803,0.0005613385629081868,0.001130016276618906,0.0010492076989122578,0.0013139726402203733,0.009505916955075189
ch[3],0.027105927870722038,0.024749520611725,0.02472622261915279,0.0,0.02496340658843151,0.027937885671240746,0.027675476422176954,0.027176371369777443,0.026321612012718685,0.025588584164316808,0.027102212978791555,0.025949733675746812,0.025196918228720812,0.029109915961756817,0.02526634751085223,0.029055787715871015,0.02544045542681978,0.025899588033534496,0.022598863181686916,0.015174613095163667
ch[4],0.0005510182372621131,0.000787127536795551,0.0007185267597674683,0.02496340658843151,0.0,0.0006452555828783124,0.0008402711122825757,0.0005476227925442778,0.0005193546625943402,0.000919571828371879,0.0006352730425296382,0.0007354121542187952,0.00037186152908075254,0.0006058766448717723,0.0006507164595106474,0.0007549259066617076,0.0005731331647339521,0.0013721006544030745,0.0008626212954210288,0.008180618267348672
ch[5],0.000583435770036056,0.0007219262251562109,0.000700866982664583,0.027937885671240746,0.0006452555828783124,0.0,0.00102522989728826,0.0007102978631277068,0.0005770326233086598,0.0005461122703503962,0.0007831687940909049,0.0003869055955386669,0.0007226666492242684,0.0006566049611439473,0.0005284913036300853,0.0006555773254930397,0.0008575097117913266,0.0011126257778700799,0.0012423786232167444,0.007107502683096234
ch[6],0.0005047113831946337,0.000867484339285518,0.0007125785982420307,0.027675476422176958,0.0008402711122825757,0.001025229897288149,0.0,0.0009492193670530558,0.0005953143766886937,0.0010292090703087897,0.0007025501132202905,0.0008766864409115449,0.000640661125808073,0.0010090884813528378,0.0007259302654537558,0.0007392232147092059,0.0016347942377136215,0.0011051258963766797,0.0017679643136649936,0.007623188968163108
ch[7],0.0006259515657747183,0.0007239881303771067,0.0005848517982371959,0.027176371369777443,0.0005476227925442778,0.0007102978631277068,0.0009492193670530558,0.0,0.0006923037182079428,0.0005567448426125887,0.0009170950136366818,0.0005860461602847922,0.0005732290434424803,0.0006096232613126418,0.0006000082393246009,0.0006269635543620922,0.0007941337025278994,0.0012869099251393568,0.0009354497620652769,0.009346644858483119
ch[8],0.0004990623053194865,0.0007312442259476137,0.0005770456152358605,0.02632161201271868,0.0005193546625942291,0.0005770326233087708,0.0005953143766886937,0.0006923037182079428,0.0,0.0007357971402297547,0.0006361049147015629,0.000535108990192712,0.00048426394915501714,0.0003734958609065142,0.0004082087665452372,0.0005771168815504879,0.0012792144841143882,0.0008402078907672195,0.0013433280165161543,0.00882629327107326
ch[9],0.0007105283096463522,0.00066313117725747,0.0006992254194324588,0.025588584164316808,0.000919571828371879,0.0005461122703502852,0.0010292090703087897,0.0005567448426125887,0.0007357971402298658,0.0,0.0009615986159978718,0.0006904816127463187,0.0007542317399564791,0.000517175292392924,0.0008999713143535981,0.0007413936352695938,0.0008872740837991833,0.0014436762250016333,0.001202681944430739,0.006572324338337349
ch[10],0.0005915186634448677,0.000775367991520004,0.0007590637092897978,0.027102212978791562,0.0006352730425296382,0.0007831687940909049,0.0007025501132204015,0.0009170950136367928,0.0006361049147015629,0.0009615986159979828,0.0,0.000692075002069914,0.0005431819113626002,0.0008756584835079018,0.0005462038677142012,0.0008035425500982907,0.0009354443310459759,0.001111388930762236,0.0011775031225979005,0.006904526487284651
ch[11],0.0006273680390785907,0.00052739237135635,0.0005590582521697307,0.025949733675746812,0.0007354121542187952,0.0003869055955386669,0.0008766864409114339,0.0005860461602847922,0.000535108990192712,0.0006904816127462077,0.000692075002069914,0.0,0.0005239533807227525,0.0005004411283144883,0.0005940933552620598,0.0005023084002800937,0.0007789633802108842,0.0011200553524520762,0.0012997532802067058,0.007040170044980018
ch[12],0.00038373740776687093,0.0008137963178568297,0.0005191143760799877,0.02519691822872081,0.00037186152908075254,0.0007226666492241574,0.000640661125808184,0.0005732290434425913,0.0004842639491549061,0.000754231739956257,0.0005431819113627112,0.0005239533807227525,1.1102230246251565e-16,0.0005376405364393433,0.0004896092121224882,0.0006479256781660725,0.0007441196635568081,0.0012316434973539403,0.000971807900783439,0.007079846060864883
ch[13],0.000548234858151031,0.0005684249051289836,0.0005871726430939361,0.029109915961756817,0.0006058766448717723,0.0006566049611439473,0.0010090884813528378,0.0006096232613126418,0.0003734958609065142,0.0005171752923930351,0.0008756584835079018,0.0005004411283144883,0.0005376405364394543,0.0,0.0004326991235782396,0.0005350550104743501,0.0008944653525368995,0.0009152600293999003,0.0009254610222235726,0.009081793149375947
ch[14],0.0005373952009228855,0.0007494476878904255,0.0007793960909910913,0.02526634751085223,0.0006507164595106474,0.0005284913036300853,0.0007259302654538669,0.0006000082393246009,0.0004082087665452372,0.0008999713143535981,0.0005462038677142012,0.0005940933552620598,0.0004896092121224882,0.0004326991235782396,0.0,0.0005157052703540499,0.0011444619240776888,0.0010341364113434226,0.0012200462107135879,0.007359640164132972
ch[15],0.0007153143059095424,0.000746929335664337,0.0005613385629081868,0.029055787715871015,0.0007549259066615965,0.0006555773254929287,0.000739223214709317,0.0006269635543622032,0.0005771168815504879,0.0007413936352694828,0.0008035425500984017,0.0005023084002799827,0.0006479256781660725,0.0005350550104742391,0.0005157052703541609,0.0,0.0010523478190107571,0.0009987763209751144,0.001297654240668189,0.0072379825608574755
ch[16],0.0008759764345689369,0.001045491509908958,0.001130016276618906,0.02544045542681978,0.0005731331647340632,0.0008575097117913266,0.0016347942377137326,0.0007941337025280104,0.0012792144841142772,0.0008872740837990722,0.0009354443310459759,0.0007789633802108842,0.0007441196635569192,0.0008944653525368995,0.0011444619240775777,0.0010523478190107571,0.0,0.0020550875746250252,0.0007243425869618569,0.01273883359802079
ch[17],0.000963684587038105,0.0012258755725154113,0.0010492076989122578,0.025899588033534496,0.0013721006544031855,0.001112625777870191,0.0011051258963765687,0.0012869099251393568,0.0008402078907672195,0.0014436762250017443,0.001111388930762236,0.0011200553524519652,0.0012316434973539403,0.0009152600294000113,0.0010341364113434226,0.0009987763209751144,0.0020550875746251362,0.0,0.0026706178367100764,0.0068973854366597975
ch[18],0.0012677864525497684,0.0013170227487261377,0.0013139726402204843,0.022598863181686916,0.0008626212954210288,0.0012423786232166334,0.0017679643136649936,0.0009354497620652769,0.0013433280165160433,0.00120268194443085,0.0011775031225979005,0.0012997532802067058,0.0009718079007835501,0.0009254610222235726,0.0012200462107135879,0.001297654240668189,0.0007243425869618569,0.0026706178367101874,0.0,0.010767589916581208
ch[19],0.007364688821835899,0.00661100107127266,0.009505916955075189,0.015174613095163667,0.008180618267348672,0.007107502683096234,0.007623188968163108,0.009346644858483119,0.00882629327107326,0.006572324338337349,0.006904526487284651,0.00704017004497999,0.007079846060864911,0.009081793149375947,0.007359640164132944,0.0072379825608574755,0.01273883359802079,0.0068973854366597975,0.010767589916581208,0.0
