channel,ch[0],ch[1],ch[2],ch[3],ch[4],ch[5],ch[6],ch[7],ch[8],ch[9],ch[10],ch[11],ch[12],ch[13],ch[14],ch[15],ch[16],ch[17],ch[18],ch[19]
ch[0],1.0,0.997074402521174,0.9974727763503027,-0.01738879815359232,0.9971198788061226,0.9971741843607845,0.9972775721560554,0.9973613723011956,0.9977968996031568,0.9963982759973941,0.9971091151810415,0.9973857447974552,0.9976470386710682,0.9968180791279954,0.9969730076365354,0.9972625268531222,0.9931431567017495,0.9926128522362059,0.9931753023600658,-0.12735373281087994
ch[1],0.997074402521174,1.0,0.9968655524087178,-0.015282627144831532,0.9966098753595434,0.9969187024219325,0.9966063880781894,0.9973307567371458,0.9972774127721162,0.9969182754324017,0.9965343117504639,0.9974050732490373,0.9969894164934773,0.9968645012012054,0.9967785357169786,0.9974433380320733,0.9933136317780493,0.9924234827701227,0.9933146707463741,-0.1365487510090226
ch[2],0.9974727763503027,0.9968655524087178,1.0,-0.01956384145677163,0.9968978549390958,0.9963574266392242,0.9968190307046944,0.9969912802046659,0.9975053665435568,0.9963272730474803,0.9966389075891339,0.996682322375434,0.9970128068697724,0.99650290855883,0.9967536080652031,0.9970730910746608,0.9924302715768742,0.9923625310122357,0.9925950999213478,-0.13308589253505076
ch[3],-0.01738879815359232,-0.015282627144831532,-0.01956384145677163,1.0,-0.01863389225891718,-0.008818386551741624,-0.025533138279838812,-0.018505726699132773,-0.022952188643295315,-0.015874454450187092,-0.015893577770156347,-0.024663140389153525,-0.014123199155001735,-0.02216385301569387,-0.018989453233957954,-0.019135461795545095,-0.0030317650181293752,-0.03312573125967772,0.0027732421904184596,0.019442429362979935
ch[4],0.9971198788061226,0.9966098753595434,0.9968978549390958,-0.01863389225891718,1.0,0.9965201074577303,0.9966174068894184,0.997149723394645,0.9974042595474992,0.9964167353255354,0.9966016010088575,0.996848452267259,0.9972707704279897,0.996670040709036,0.9968543806631749,0.9968085299602657,0.9925747531663539,0.9925998158821184,0.9926430210758209,-0.14097733506406548
ch[5],0.9971741843607846,0.9969187024219324,0.9963574266392243,-0.008818386551741624,0.9965201074577303,1.0,0.9965294254014838,0.9972632584160884,0.9970982411445173,0.9961934799177181,0.9965634485743708,0.9974899706986039,0.9968097507363084,0.9972503775549165,0.9968513276264666,0.9972996899696059,0.9925652374195192,0.9931315737968182,0.992531725912564,-0.12907036864596222
ch[6],0.9972775721560554,0.9966063880781894,0.9968190307046944,-0.025533138279838816,0.9966174068894184,0.9965294254014837,1.0,0.9970721234899571,0.9973225271039016,0.9959819320230319,0.9963809857916561,0.9965474901117152,0.9972665217516687,0.9963788958511602,0.9965430260825497,0.9969183353938216,0.9918044444073639,0.9924303052215562,0.9919584465041473,-0.13017687552184967
ch[7],0.9973613723011955,0.9973307567371458,0.9969912802046658,-0.018505726699132773,0.997149723394645,0.9972632584160884,0.9970721234899571,1.0,0.9975765606024649,0.9967197530056209,0.9969886270851689,0.9973441469183856,0.9975384500086634,0.9974095320612215,0.9969298645691809,0.9976317605591593,0.9931487460571402,0.9929243775626071,0.9935728423994579,-0.13214978766162594
ch[8],0.9977968996031568,0.9972774127721162,0.9975053665435567,-0.02295218864329531,0.9974042595474991,0.9970982411445174,0.9973225271039016,0.9975765606024649,1.0,0.9965186929231257,0.9968973211759179,0.9974510579061416,0.9977811412460323,0.9971936846810954,0.9973962657546023,0.9973326136370474,0.9928797100846101,0.9927472797978393,0.9932063838795722,-0.13204241648719647
ch[9],0.9963982759973941,0.9969182754324017,0.9963272730474803,-0.015874454450187092,0.9964167353255354,0.996193479917718,0.9959819320230319,0.9967197530056209,0.9965186929231258,1.0,0.9958506135050127,0.9967508296730944,0.9964159034016283,0.9966468474220651,0.996299646714029,0.9969980978919739,0.991748520945046,0.9930731278544532,0.9918870966288454,-0.12714420891022193
