канал,канал[0],канал[1],канал[2],канал[3],канал[4],канал[5],канал[6],канал[7],канал[8],канал[9],канал[10],канал[11],канал[12],канал[13],канал[14],канал[15],канал[16],канал[17],канал[18],канал[19]
канал[0],0.9999999999999999,0.997074402521174,0.9974727763503034,-0.01738879815359234,0.9971198788061229,0.9971741843607849,0.9972775721560556,0.997361372301196,0.9977968996031569,0.9963982759973947,0.997109115181042,0.9973857447974552,0.9976470386710681,0.9968180791279955,0.9969730076365351,0.997262526853122,0.9931431567017497,0.9926128522362061,0.9931753023600661,-0.12735373281087992
канал[1],0.997074402521174,1.0,0.9968655524087179,-0.015282627144831515,0.9966098753595434,0.9969187024219325,0.9966063880781895,0.9973307567371456,0.9972774127721167,0.9969182754324016,0.9965343117504637,0.9974050732490369,0.9969894164934776,0.9968645012012054,0.9967785357169778,0.9974433380320725,0.9933136317780491,0.9924234827701226,0.9933146707463744,-0.13654875100902264
канал[2],0.9974727763503033,0.9968655524087179,1.0,-0.01956384145677163,0.9968978549390958,0.9963574266392241,0.9968190307046944,0.9969912802046657,0.9975053665435565,0.9963272730474807,0.9966389075891335,0.996682322375434,0.9970128068697728,0.9965029085588294,0.9967536080652024,0.9970730910746605,0.9924302715768739,0.9923625310122357,0.9925950999213476,-0.1330858925350508
канал[3],-0.01738879815359234,-0.015282627144831513,-0.01956384145677163,1.0,-0.0186338922589172,-0.008818386551741613,-0.025533138279838826,-0.01850572669913277,-0.022952188643295294,-0.015874454450187068,-0.015893577770156382,-0.024663140389153532,-0.014123199155001733,-0.02216385301569393,-0.01898945323395799,-0.01913546179554508,-0.003031765018129394,-0.03312573125967775,0.0027732421904184674,0.01944242936297996
канал[4],0.9971198788061229,0.9966098753595434,0.9968978549390958,-0.018633892258917203,1.0,0.9965201074577303,0.9966174068894184,0.9971497233946454,0.997404259547499,0.9964167353255353,0.9966016010088578,0.9968484522672586,0.9972707704279897,0.9966700407090356,0.9968543806631742,0.9968085299602658,0.9925747531663537,0.9925998158821183,0.992643021075821,-0.1409773350640655
канал[5],0.9971741843607849,0.9969187024219324,0.9963574266392242,-0.008818386551741615,0.9965201074577303,0.9999999999999999,0.9965294254014835,0.9972632584160882,0.9970982411445177,0.9961934799177176,0.9965634485743712,0.9974899706986043,0.9968097507363084,0.9972503775549164,0.9968513276264667,0.997299689969606,0.992565237419519,0.9931315737968182,0.992531725912564,-0.1290703686459622
канал[6],0.9972775721560556,0.9966063880781895,0.9968190307046942,-0.025533138279838826,0.9966174068894184,0.9965294254014836,1.0,0.9970721234899576,0.9973225271039022,0.9959819320230326,0.9963809857916562,0.9965474901117154,0.997266521751669,0.9963788958511599,0.9965430260825495,0.9969183353938214,0.991804444407364,0.9924303052215562,0.9919584465041471,-0.1301768755218497
канал[7],0.9973613723011959,0.9973307567371454,0.9969912802046657,-0.018505726699132773,0.9971497233946454,0.9972632584160882,0.9970721234899576,1.0,0.997576560602465,0.996719753005621,0.9969886270851699,0.9973441469183859,0.9975384500086635,0.9974095320612217,0.9969298645691801,0.9976317605591597,0.9931487460571403,0.9929243775626075,0.9935728423994583,-0.13214978766162597
канал[8],0.997796899603157,0.9972774127721167,0.9975053665435565,-0.02295218864329529,0.997404259547499,0.9970982411445176,0.9973225271039021,0.997576560602465,1.0,0.9965186929231257,0.9968973211759179,0.9974510579061411,0.9977811412460325,0.9971936846810951,0.9973962657546018,0.9973326136370472,0.9928797100846098,0.9927472797978395,0.9932063838795716,-0.1320424164871965
канал[9],0.9963982759973948,0.9969182754324016,0.9963272730474807,-0.015874454450187068,0.9964167353255353,0.9961934799177176,0.9959819320230326,0.996719753005621,0.9965186929231258,1.0,0.9958506135050125,0.9967508296730939,0.9964159034016281,0.996646847422065,0.9962996467140287,0.9969980978919738,0.9917485209450456,0.993073127854453,0.9918870966288453,-0.1271442089102219
