i,j,label_i,label_j,pearson,spearman,signed_diff,absdiff,signed_ratio,abs_ratio,mean_abs_strength,abs_dominance,sign_agreement,sign_relation
0,1,канал[0],канал[1],0.996744543065392,0.9958234198234199,0.0009211232419720217,0.0009211232419720217,1.0009249865223449,1.0009249865223449,0.996283981444406,0.0009211232419720217,1.0,знак совпадает
0,2,канал[0],канал[2],0.9964862057047851,0.9956226116226117,0.0008635940821734023,0.0008635940821734023,1.000867390989409,1.000867390989409,0.9960544086636984,0.0008635940821734023,1.0,знак совпадает
0,3,канал[0],канал[3],-0.04731142084567509,-0.05062352662352662,0.003312105777851529,0.003312105777851529,0.9345737841916317,0.9345737841916317,0.04896747373460086,-0.003312105777851529,1.0,знак совпадает
0,4,канал[0],канал[4],0.9964991214895893,0.9955617835617835,0.0009373379278058147,0.0009373379278058147,1.0009415165821778,1.0009415165821778,0.9960304525256864,0.0009373379278058147,1.0,знак совпадает
0,5,канал[0],канал[5],0.9967111155453221,0.9957257757257758,0.0009853398195462937,0.0009853398195462937,1.000989569461359,1.000989569461359,0.996218445635549,0.0009853398195462937,1.0,знак совпадает
0,6,канал[0],канал[6],0.996818081380706,0.9960471600471601,0.0007709213335459486,0.0007709213335459486,1.0007739807555993,1.0007739807555993,0.9964326207139331,0.0007709213335459486,1.0,знак совпадает
0,7,канал[0],канал[7],0.997149987871679,0.9963765723765724,0.0007734154951065664,0.0007734154951065664,1.0007762281014514,1.0007762281014514,0.9967632801241257,0.0007734154951065664,1.0,знак совпадает
0,8,канал[0],канал[8],0.9969016543838694,0.9958296478296479,0.0010720065542214607,0.0010720065542214607,1.0010764959213234,1.0010764959213234,0.9963656511067587,0.0010720065542214607,1.0,знак совпадает
0,9,канал[0],канал[9],0.9959729117302751,0.9953592593592595,0.0006136523710156272,0.0006136523710156272,1.0006165134500389,1.0006165134500389,0.9956660855447673,0.0006136523710156272,1.0,знак совпадает
0,10,канал[0],канал[10],0.9959888758155878,0.9947154707154707,0.0012734051001170865,0.0012734051001170865,1.0012801701970124,1.0012801701970124,0.9953521732655293,0.0012734051001170865,1.0,знак совпадает
0,11,канал[0],канал[11],0.9963962335647637,0.9953426393426393,0.0010535942221243655,0.0010535942221243655,1.0010585241508594,1.0010585241508594,0.9958694364537015,0.0010535942221243655,1.0,знак совпадает
0,12,канал[0],канал[12],0.9971593202930855,0.9963490083490083,0.0008103119440772133,0.0008103119440772133,1.0008132812270472,1.0008132812270472,0.9967541643210469,0.0008103119440772133,1.0,знак совпадает
0,13,канал[0],канал[13],0.99622700543457,0.9951961791961792,0.0010308262383907918,0.0010308262383907918,1.001035802045807,1.001035802045807,0.9957115923153745,0.0010308262383907918,1.0,знак совпадает
0,14,канал[0],канал[14],0.995916116230303,0.994883086883087,0.0010330293472159413,0.0010330293472159413,1.0010383424553455,1.0010383424553455,0.995399601556695,0.0010330293472159413,1.0,знак совпадает
0,15,канал[0],канал[15],0.9968204850069601,0.9960154800154801,0.0008050049914799517,0.0008050049914799517,1.0008082253816653,1.0008082253816653,0.99641798251122,0.0008050049914799517,1.0,знак совпадает
0,16,канал[0],канал[16],0.9910015498167563,0.9877167637167639,0.0032847860999923872,0.0032847860999923872,1.003325635668703,1.003325635668703,0.9893591567667601,0.0032847860999923872,1.0,знак совпадает
0,17,канал[0],канал[17],0.9915386421918018,0.989890601890602,0.0016480403011998046,0.0016480403011998046,1.0016648711464198,1.0016648711464198,0.9907146220412019,0.0016480403011998046,1.0,знак совпадает
0,18,канал[0],канал[18],0.9904196579564882,0.9870294270294272,0.003390230927061033,0.003390230927061033,1.0034347820178617,1.0034347820178617,0.9887245424929577,0.003390230927061033,1.0,знак совпадает
0,19,канал[0],канал[19],-0.1023414504045779,-0.1022805782805783,-6.087212399960573e-05,6.087212399960573e-05,1.0005951484145175,1.0005951484145175,0.1023110143425781,6.087212399960573e-05,1.0,знак совпадает
1,2,канал[1],канал[2],0.9961528059569542,0.9948898548898549,0.0012629510670992827,0.0012629510670992827,1.0012694380798959,1.0012694380798959,0.9955213304234045,0.0012629510670992827,1.0,знак совпадает
1,3,канал[1],канал[3],-0.04855121228071908,-0.047518967518967524,-0.0010322447617515593,0.0010322447617515593,1.0217227944049823,1.0217227944049823,0.0480350898998433,0.0010322447617515593,1.0,знак совпадает
1,4,канал[1],канал[4],0.9968415747684446,0.9959574239574239,0.0008841508110206675,0.0008841508110206675,1.0008877395657212,1.0008877395657212,0.9963994993629343,0.0008841508110206675,1.0,знак совпадает
1,5,канал[1],канал[5],0.9968306817458245,0.9960831480831482,0.0007475336626762141,0.0007475336626762141,1.0007504731548915,1.0007504731548915,0.9964569149144864,0.0007475336626762141,1.0,знак совпадает
1,6,канал[1],канал[6],0.9965822684572824,0.9957467637467639,0.0008355047105185198,0.0008355047105185198,1.0008390734882981,1.0008390734882981,0.9961645161020232,0.0008355047105185198,1.0,знак совпадает
1,7,канал[1],канал[7],0.99764863253747,0.9968170568170568,0.0008315757204132579,0.0008315757204132579,1.0008342310303844,1.0008342310303844,0.9972328446772634,0.0008315757204132579,1.0,знак совпадает
1,8,канал[1],канал[8],0.9967838316199467,0.9958441318441319,0.0009396997758147618,0.0009396997758147618,1.0009436213417,1.0009436213417,0.9963139817320392,0.0009396997758147618,1.0,знак совпадает
1,9,канал[1],канал[9],0.9963257049957752,0.9955003195003195,0.0008253854954557438,0.0008253854954557438,1.0008291162536944,1.0008291162536944,0.9959130122480473,0.0008253854954557438,1.0,знак совпадает
1,10,канал[1],канал[10],0.996727171486574,0.9954330474330476,0.0012941240535263576,0.0012941240535263576,1.001300061372147,1.001300061372147,0.9960801094598108,0.0012941240535263576,1.0,знак совпадает
1,11,канал[1],канал[11],0.9969877729157305,0.99597737997738,0.0010103929383504795,0.0010103929383504795,1.001014473780894,1.001014473780894,0.9964825764465552,0.0010103929383504795,1.0,знак совпадает
1,12,канал[1],канал[12],0.9970383269171075,0.9961681081681082,0.0008702187489992852,0.0008702187489992852,1.0008735661600325,1.0008735661600325,0.9966032175426078,0.0008702187489992852,1.0,знак совпадает
1,13,канал[1],канал[13],0.9968400680548903,0.9958397518397519,0.0010003162151384082,0.0010003162151384082,1.0010044951642976,1.0010044951642976,0.9963399099473211,0.0010003162151384082,1.0,знак совпадает
1,14,канал[1],канал[14],0.9963885588235789,0.9956678156678156,0.0007207431557633148,0.0007207431557633148,1.0007238791336044,1.0007238791336044,0.9960281872456973,0.0007207431557633148,1.0,знак совпадает
1,15,канал[1],канал[15],0.9970416347064445,0.9960576360576362,0.0009839986488082708,0.0009839986488082708,1.0009878932836687,1.0009878932836687,0.9965496353820403,0.0009839986488082708,1.0,знак совпадает
1,16,канал[1],канал[16],0.991314649143288,0.9884192084192085,0.0028954407240795454,0.0028954407240795454,1.0029293650906586,1.0029293650906586,0.9898669287812483,0.0028954407240795454,1.0,знак совпадает
1,17,канал[1],канал[17],0.9921630061929666,0.990022806022806,0.002140200170160589,0.002140200170160589,1.0021617685543613,1.0021617685543613,0.9910929061078864,0.002140200170160589,1.0,знак совпадает
1,18,канал[1],канал[18],0.9908198122054247,0.9878204198204199,0.0029993923850047954,0.0029993923850047954,1.0030363741473882,1.0030363741473882,0.9893201160129224,0.0029993923850047954,1.0,знак совпадает
1,19,канал[1],канал[19],-0.10463663311357971,-0.10525680925680926,0.0006201761432295533,0.0006201761432295533,0.9941079712789277,0.9941079712789277,0.10494672118519449,-0.0006201761432295533,1.0,знак совпадает
2,3,канал[2],канал[3],-0.051398656463394046,-0.05277252477252478,0.0013738683091307352,0.0013738683091307352,0.9739662198264575,0.9739662198264575,0.052085590617959414,-0.0013738683091307352,1.0,знак совпадает
2,4,канал[2],канал[4],0.9960449987449095,0.9948282108282108,0.0012167879166986584,0.0012167879166986584,1.0012231136023833,1.0012231136023833,0.9954366047865602,0.0012167879166986584,1.0,знак совпадает
2,5,канал[2],канал[5],0.9958092986052525,0.9946559746559748,0.0011533239492776959,0.0011533239492776959,1.0011595204559813,1.0011595204559813,0.9952326366306137,0.0011533239492776959,1.0,знак совпадает
2,6,канал[2],канал[6],0.9962199399827574,0.9951291951291952,0.0010907448535621977,0.0010907448535621977,1.0010960836632077,1.0010960836632077,0.9956745675559763,0.0010907448535621977,1.0,знак совпадает
2,7,канал[2],канал[7],0.9966501638033134,0.995941835941836,0.0007083278614773425,0.0007083278614773425,1.0007112140849144,1.0007112140849144,0.9962959998725747,0.0007083278614773425,1.0,знак совпадает
2,8,канал[2],канал[8],0.9965125469979107,0.9956682956682957,0.0008442513296149645,0.0008442513296149645,1.0008479242869215,1.0008479242869215,0.9960904213331032,0.0008442513296149645,1.0,знак совпадает
